Problem_number,Catogery,Problem_details
1,aho,http://www.spoj.com/problems/ADAJOBS/
2,aho,URI 2226 (5) //[NICE][NUMBERS][DP]
3,aho,http://www.spoj.com/problems/SUB_PROB/en/
4,aho,http://codeforces.com/contest/696/problem/D 8
5,aho,http://www.spoj.com/problems/AHOCUR/ 5 //Aho-Corassic + DP
6,aho,https://www.codechef.com/problems/LYRC (5) //Sample aho-brute-force
7,aho,http://codeforces.com/problemset/problem/346/B //Proposed by bradyawn
8,automat,6861 [LA] //CYK
9,automat,UVA 10679 //Suffix Automat
10,automat,http://www.spoj.com/problems/STRMATCH/ //Suffix Automat — trie might do too
11,automat,http://www.spoj.com/problems/NSUBSTR2/ //Suffix Automaton
12,belman-ford,UVA 12519
13,belman-ford,http://www.spoj.com/problems/ARBITRAG/ (4) //Or Floyd-Warshall
14,bfs,http://www.spoj.com/problems/ADACYCLE/ [FW]
15,bfs,6151 — Beehives (4) //[NICE] //Search for shortest cycle
16,bfs,https://devskill.com/CodingProblems/ViewProblem/60
17,bfs,https://devskill.com/CodingProblems/ViewProblem/150
18,bfs,11312 UVA (3)
19,bfs,11392 UVA (4)
20,bfs,http://codeforces.com/contest/653/problem/E (6)
21,bfs,http://codeforces.com/contest/769/problem/C 5 //FL:ODD/**** | bfs+greed NICE
22,bfs,10968 UVA (3) //EASY + NICE (bfs withot <=2 nodes)
23,bfs,http://codeforces.com/contest/796/problem/D (3) //NICE+EASY ... print visited in bfs (not par)
24,bfs,10888 UVA (4) //VERY NICE — but not main technique ... ++ DP /or/ MCMF
25,bfs,http://codeforces.com/contest/821/problem/D (5) //VERY NICE — Consider only points not GRID
26,bfs,http://www.spoj.com/problems/DIGOKEYS/ (4) //Easy [Nice problem — weird statement]
27,bfs,http://www.spoj.com/problems/SPIKES/ (3) //Easy bfs (# of 's' * 2)
28,bfs,http://www.spoj.com/problems/MULTII/ (4) //VERY NICE: BFS over numbers (K*10+d)%N
29,bfs,http://www.spoj.com/problems/ADV04F1/ (5) //VERY NICE: [imple] ~ N^4*BigConstant
30,bfs,http://www.spoj.com/problems/INVESORT/ (5) //Big limit (really usefull :P)
31,bfs,http://codeforces.com/contest/59/problem/E (5) //[NICE][DOUBLE-STATES][SET]
32,bfs,http://codeforces.com/contest/877/problem/D (4) //[NICE] Add vector to # of states
33,bfs-grid,10977 UVA (3)
34,bfs-grid,928 UVA (3)
35,bfs-grid,13116 UVA (4)
36,bfs-grid,314 UVA (3)
37,bfs-grid,11487 UVA (4)
38,bfs-grid,5622 LA (7)
39,bfs-grid,11931 UVA (5)
40,bfs-grid,http://www.spoj.com/problems/KNMOVE/ 3 //simple knights
41,bfs-grid,http://www.spoj.com/problems/SERGRID/ 3 //almost classical
42,bfs-grid,http://www.spoj.com/problems/NAKANJ/ 3 //Classical chess — KNIGHT
43,bfs-grid,http://www.spoj.com/problems/PUCMM223/ (4) //NICE (but not many languages) — 2 moving [x][y]
44,bfs-grid,http://www.spoj.com/problems/SPIRALGR/ (4) //NICE (not typical) [SIEVE]
45,bfs-grid,http://www.spoj.com/problems/DCEPC706/ (4) //NICE — travelling outside
46,bfs-grid,http://codeforces.com/contest/35/problem/C (3) //No obstacles [multiple starts]
47,big,https://devskill.com/CodingProblems/ViewProblem/394 (2) //Multiplication (or math)
48,big,http://codeforces.com/contest/66/problem/A (2) //Big + iffs + implementation
49,big,UVA — 10183 
50,big,10106 — Product [UVA]
51,big,10523 — Very Easy !!! [UVA]
52,big,787 — Maximum Sub-sequence Product [UVA]
53,big,2871 — Rhyme Schemes [LA][BELL]
54,big,UVA — 10497
55,big,http://www.spoj.com/problems/MUL/en/
56,big,http://www.spoj.com/problems/ITRIX_E/
57,big,11115 — Uncle Jack
58,big,11448 — Who said crisis? [UVA]
59,big,http://www.spoj.com/problems/GCD2/
60,big,10083 — Division [UVA]
61,big,11830 — Contract Revision [UVA]
62,big,1230 — MODEX [UVA]
63,big,http://www.spoj.com/problems/NUMPLAY/
64,big,10519 — UVA
65,big,7651 — Pascal's Hyper-Pyramids [LA]
66,big,11344 — The Huge One [UVA]
67,big,10303 — How Many Trees? [UVA]
68,big,http://www.spoj.com/problems/FAST2/
69,big,495 — Fibonacci Freeze [UVA]
70,big,10023 — Square root [UVA]
71,big,http://www.spoj.com/problems/SKYLINE/
72,big,http://www.spoj.com/problems/NITT2/
73,big,11879 — Multiple of 17
74,big,http://www.spoj.com/problems/MINNUM/
75,big,10494 — If We Were a Child Again [UVA]
76,big,10013 — Super long sums [UVA]
77,big,10925 — Krakovia [UVA]
78,big,10814 — Simplifying Fractions [UVA]
79,big,619 — Numerically Speaking [UVA]
80,big,713 — Adding Reversed Numbers [UVA]
81,big,1226 — Numerical surprises [UVA]
82,big,623 — 500! [UVA]
83,big,http://codeforces.com/problemset/problem/18/D
84,big,http://www.spoj.com/problems/NUMTSN/
85,big,https://www.codechef.com/problems/FRJUMP
86,big,10220 — I Love Big Numbers ! [UVA]
87,big,https://www.hackerrank.com/contests/projecteuler/challenges/euler025
88,big,https://www.hackerrank.com/contests/projecteuler/challenges/euler020
89,big,11645 UVA 4
90,big,Gym — 100866A [ACM ICPC 2005–2006 NEERC Moscow Subregional Contest]
91,big,CSQUARE [SPOJ]
92,big,http://www.spoj.com/problems/PARCARD1/
93,big,10070 — Leap Year or Not Leap Year and .. [UVA]
94,big,http://www.spoj.com/problems/SOLDIERS/
95,big,12333 — Revenge of Fibonacci [UVA]
96,big,http://www.spoj.com/problems/NDIVPHI/
97,big,http://www.spoj.com/problems/IWGBS/ [UVA]
98,big,http://www.spoj.com/problems/POP3/ [Prime-Test]
99,big,http://www.spoj.com/problems/VGCD/
100,big,http://www.spoj.com/problems/NDIVPHI2/
101,big,12924 — Immortal Rabbits [UVA]
102,big,Count the Trees [UVA][10007]
103,big,10198 — Counting [UVA]
104,big,11375 UVA 3
105,big,http://www.spoj.com/problems/MINNUM/ 3 // BIG/9+!!(BIG%9)
106,big,10844 UVA 4 //Bell numbers + big (might be slightly slow!)
107,big,http://www.spoj.com/problems/NITT2/ 2 //Divisibility by two constants
108,big,http://www.spoj.com/problems/NUMPLAY/ (3) //With DP
109,big,http://www.spoj.com/problems/IWGBS/ (3) //Fibonacci 10^4
110,big,http://www.spoj.com/problems/PUCMM025/ (2) //Divisibility by 1 → 9
111,big,http://www.spoj.com/problems/CSQUARE/ (3) //Converse + Power 
112,big,http://codeforces.com/contest/17/problem/D (5) //B^(N-1)*(B-1)%C [B/N are big]
113,binary_search,http://codeforces.com/contest/920/problem/G (5) //[NICE][MATH][IE]
114,binary_search,http://codeforces.com/contest/140/problem/C (4) //[NICE][GREEDY]
